Block,GEN,KILL,IN,OUT
B11,average_scores[i]_79,,scores[i][j]_64;scores[i][j]_67;int num_students_12;temp_score_57;scores[i][j]_69;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;total_scores[i] +_71,scores[i][j]_64;average_scores[i]_79;scores[i][j]_67;int num_students_12;temp_score_57;scores[i][j]_69;student_ids[i]_44;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;total_scores[i] +_71
B12,grades[i]_85;grades[i]_91;grades[i]_87;grades[i]_83;grades[i]_89,,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;total_scores[i] +_71;average_scores[i]_79;int num_students_12;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89
B14,,,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89
B15,,,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89
B16,,,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89
B17,float lowest_avg_124;float highest_avg_123;float class_total_score_120;int pass_count_121;int fail_count_122;char top_student[100]_125;int grade_counts[5]_127;char bottom_student[100]_126,,scores[i][j]_64;scores[i][j]_67;temp_score_57;student_ids[i]_44;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;int pass_count_121;student_ids[i]_44;char top_student[100]_125;grades[i]_87;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;int num_students_12;grades[i]_85;grades[i]_91;float highest_avg_123;float class_total_score_120;int fail_count_122;scores[i][j]_69;char subject_names[NUM_SUBJECTS][20]_22;total_scores[i]_50;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126
B19,,,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;int grade_counts[5]_127;grades[i]_85;grades[i]_91;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;grades[i]_87;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126
B20,,,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;grades[i]_87;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;grades[i]_87;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126
B21,int failed_subjects_135;class_total_score +_132,,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;int grade_counts[5]_127;grades[i]_85;grades[i]_91;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;grades[i]_87;total_scores[i] +_71;average_scores[i]_79;int num_students_12;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;grades[i]_83;grades[i]_89;char bottom_student[100]_126,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;grades[i]_87;int failed_subjects_135;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;class_total_score +_132;grades[i]_83;grades[i]_89;char bottom_student[100]_126
B22,,,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;int grade_counts[5]_127;grades[i]_85;grades[i]_91;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;grades[i]_87;int failed_subjects_135;total_scores[i] +_71;average_scores[i]_79;int num_students_12;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;class_total_score +_132;grades[i]_83;grades[i]_89;char bottom_student[100]_126,scores[i][j]_64;scores[i][j]_67;float lowest_avg_124;temp_score_57;student_ids[i]_44;int pass_count_121;char top_student[100]_125;grades[i]_87;int failed_subjects_135;int grade_counts[5]_127;total_scores[i] +_71;average_scores[i]_79;grades[i]_85;grades[i]_91;int num_students_12;float highest_avg_123;scores[i][j]_69;float class_total_score_120;int fail_count_122;total_scores[i]_50;char subject_names[NUM_SUBJECTS][20]_22;int input_status_31;class_total_score +_132;grades[i]_83;grades[i]_89;char bottom_student[100]_126
